Country Region,Province State,Confirmed,Deaths
Afghanistan,,177321,7657
Albania,,273257,3489
Algeria,,265599,6873
Andorra,,39713,155
Angola,,99081,1900
Antarctica,,11,0
Antigua and Barbuda,,7482,135
Argentina,,9021240,127780
Armenia,,422401,8604
Australia,Australian Capital Territory,71683,39
Australia,New South Wales,1695597,2049
Australia,Northern Territory,47679,33
Australia,Queensland,712260,709
Australia,South Australia,226698,246
Australia,Tasmania,77110,29
Australia,Victoria,1224921,2713
Australia,Western Australia,124525,32
Austria,,3627093,15579
Azerbaijan,,791604,9672
Bahamas,,33242,787
Bahrain,,548866,1466
Bangladesh,,1951072,29118
Barbados,,58128,329
Belarus,,955600,6759
Belgium,Antwerp,589751,0
Belgium,Brussels,424008,0
Belgium,East Flanders,491983,0
Belgium,Flemish Brabant,354637,0
Belgium,Hainaut,426768,0
Belgium,Liege,354481,0
Belgium,Limburg,277012,0
Belgium,Luxembourg,98222,0
Belgium,Namur,165477,0
Belgium,Unknown,54750,30662
Belgium,Walloon Brabant,139493,0
Belgium,West Flanders,394651,0
Belize,,57212,654
Benin,,26952,163
Bhutan,,23814,9
Bolivia,,900557,21484
Bosnia and Herzegovina,,374696,15695
Botswana,,263950,2619
Brazil,Acre,123746,1990
Brazil,Alagoas,295714,6866
Brazil,Amapa,160301,2122
Brazil,Amazonas,580970,14148
Brazil,Bahia,1527992,29646
Brazil,Ceara,1239185,26683
Brazil,Distrito Federal,691014,11569
Brazil,Espirito Santo,1036087,14313
Brazil,Goias,1264990,26201
Brazil,Maranhao,423604,10865
Brazil,Mato Grosso,723464,14852
Brazil,Mato Grosso do Sul,522387,10480
Brazil,Minas Gerais,3310675,60687
Brazil,Para,749526,18066
Brazil,Paraiba,593496,10183
Brazil,Parana,2403986,42869
Brazil,Pernambuco,887237,21333
Brazil,Piaui,367490,7719
Brazil,Rio Grande do Norte,494656,8116
Brazil,Rio Grande do Sul,2256393,38950
Brazil,Rio de Janeiro,2071914,72591
Brazil,Rondonia,389802,7164
Brazil,Roraima,154956,2144
Brazil,Santa Catarina,1666949,21642
Brazil,Sao Paulo,5211936,166955
Brazil,Sergipe,324711,6304
Brazil,Tocantins,302387,4142
Brunei,,129081,200
Bulgaria,,1131065,36396
Burkina Faso,,20813,379
Burma,,610176,19428
Burundi,,38406,38
Cabo Verde,,55941,401
Cambodia,,135285,3054
Cameroon,,119544,1927
Canada,Alberta,536166,4044
Canada,British Columbia,354874,2981
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,134759,1739
Canada,New Brunswick,45101,336
Canada,Newfoundland and Labrador,35293,92
Canada,Northwest Territories,10235,21
Canada,Nova Scotia,51359,232
Canada,Nunavut,3400,5
Canada,Ontario,1155877,12418
Canada,Prince Edward Island,23345,16
Canada,Quebec,951292,14288
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,131028,1209
Canada,Yukon,3705,24
Central African Republic,,14649,113
Chad,,7288,190
Chile,Antofagasta,119855,1732
Chile,Araucania,209154,2480
Chile,Arica y Parinacota,54447,803
Chile,Atacama,63837,562
Chile,Aysen,24150,172
Chile,Biobio,339743,4106
Chile,Coquimbo,121109,1615
Chile,Los Lagos,189291,2238
Chile,Los Rios,103509,1167
Chile,Magallanes,49917,694
Chile,Maule,230274,2773
Chile,Metropolitana,1308931,27800
Chile,Nuble,96084,1044
Chile,OHiggins,144192,2444
Chile,Tarapaca,78592,1075
Chile,Unknown,43,2
Chile,Valparaiso,293019,5440
China,Anhui,1025,6
China,Beijing,1747,9
China,Chongqing,687,6
China,Fujian,2728,1
China,Gansu,667,2
China,Guangdong,6515,8
China,Guangxi,1418,2
China,Guizhou,172,2
China,Hainan,193,6
China,Hebei,1899,7
China,Heilongjiang,2335,13
China,Henan,2758,22
China,Hong Kong,1101224,6770
China,Hubei,68391,4512
China,Hunan,1308,4
China,Inner Mongolia,1677,1
China,Jiangsu,1992,0
China,Jiangxi,1027,1
China,Jilin,22235,5
China,Liaoning,1502,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,32,0
China,Shaanxi,3212,3
China,Shandong,2522,7
China,Shanghai,5135,7
China,Shanxi,300,0
China,Sichuan,1624,3
China,Tianjin,1713,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,2055,2
China,Zhejiang,2645,1
Colombia,Amazonas,7563,264
Colombia,Antioquia,917568,18229
Colombia,Arauca,16292,530
Colombia,Atlantico,401976,10123
Colombia,Bolivar,197077,3238
Colombia,Boyaca,125090,2778
Colombia,Caldas,116889,2525
Colombia,Capital District,1764992,29317
Colombia,Caqueta,24945,1023
Colombia,Casanare,41611,998
Colombia,Cauca,72183,1786
Colombia,Cesar,106374,2667
Colombia,Choco,18582,426
Colombia,Cordoba,118971,3929
Colombia,Cundinamarca,317842,7274
Colombia,Guainia,2760,37
Colombia,Guaviare,5585,105
Colombia,Huila,100266,3509
Colombia,La Guajira,56251,1523
Colombia,Magdalena,114780,3620
Colombia,Meta,104921,2536
Colombia,Narino,104396,3308
Colombia,Norte de Santander,119638,5084
Colombia,Putumayo,20472,772
Colombia,Quindio,70780,2053
Colombia,Risaralda,106274,2467
Colombia,San Andres y Providencia,10183,154
Colombia,Santander,282988,8154
Colombia,Sucre,65638,1714
Colombia,Tolima,124278,3999
Colombia,Unknown,0,300
Colombia,Valle del Cauca,540130,15009
Colombia,Vaupes,1887,19
Colombia,Vichada,3395,61
Comoros,,8081,160
Congo (Brazzaville),,24062,384
Congo (Kinshasa),,86598,1335
Costa Rica,,833909,8263
Cote d'Ivoire,,81680,796
Croatia,,1089696,15485
Cuba,,1084568,8508
Cyprus,,397205,927
Czechia,,3776874,39495
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11953,21
Denmark,,3029228,5518
Diamond Princess,,712,13
Djibouti,,15580,189
Dominica,,11787,63
Dominican Republic,,577673,4375
Ecuador,,855314,35413
Egypt,,500889,24361
El Salvador,,161052,4115
Equatorial Guinea,,15999,183
Eritrea,,9723,103
Estonia,,548333,2423
Eswatini,,69633,1393
Ethiopia,,469544,7491
Fiji,,64335,834
Finland,,834038,2951
France,French Guiana,78326,394
France,French Polynesia,71868,646
France,Guadeloupe,132359,928
France,Martinique,138039,909
France,Mayotte,36800,187
France,New Caledonia,60220,310
France,Reunion,327189,702
France,Saint Barthelemy,3805,6
France,Saint Pierre and Miquelon,1930,1
France,St Martin,9939,63
France,Wallis and Futuna,454,7
France,,23962674,138323
Gabon,,47584,303
Gambia,,11978,365
Georgia,,1644711,16688
Germany,Baden-Wurttemberg,2871398,14916
Germany,Bayern,3763118,22314
Germany,Berlin,875626,4346
Germany,Brandenburg,659846,5378
Germany,Bremen,142376,711
Germany,Hamburg,419103,2364
Germany,Hessen,1351540,9538
Germany,Mecklenburg-Vorpommern,370209,1940
Germany,Niedersachsen,1420058,7798
Germany,Nordrhein-Westfalen,3807191,23126
Germany,Rheinland-Pfalz,759480,5151
Germany,Saarland,213507,1477
Germany,Sachsen,1174030,14540
Germany,Sachsen-Anhalt,537449,4911
Germany,Schleswig-Holstein,432426,2223
Germany,Thuringen,530619,6726
Germany,Unknown,37652,0
Ghana,,160894,1445
Greece,,2884100,27125
Grenada,,13967,218
Guatemala,,821834,17267
Guinea,,36459,440
Guinea-Bissau,,8125,169
Guyana,,63208,1226
Haiti,,30511,827
Holy See,,29,0
Honduras,,418792,10869
Hungary,,1836919,45220
Iceland,,177015,95
India,Andaman and Nicobar Islands,10032,129
India,Andhra Pradesh,2319367,14730
India,Arunachal Pradesh,64484,296
India,Assam,724194,6639
India,Bihar,830439,12256
India,Chandigarh,91896,1165
India,Chhattisgarh,1152020,14034
India,Dadra and Nagar Haveli and Daman and Diu,11441,4
India,Delhi,1864246,26149
India,Goa,245267,3830
India,Gujarat,1223832,10942
India,Haryana,984851,10600
India,Himachal Pradesh,284439,4132
India,Jammu and Kashmir,453626,4750
India,Jharkhand,435097,5315
India,Karnataka,3945079,40044
India,Kerala,6529607,67550
India,Ladakh,28217,228
India,Lakshadweep,11402,52
India,Madhya Pradesh,1040966,10734
India,Maharashtra,7872956,143772
India,Manipur,137066,2120
India,Meghalaya,93747,1593
India,Mizoram,223516,679
India,Nagaland,35467,758
India,Odisha,1287323,9117
India,Puducherry,165774,1962
India,Punjab,758991,17738
India,Rajasthan,1282781,9551
India,Sikkim,39132,451
India,Tamil Nadu,3452575,38025
India,Telangana,791038,4111
India,Tripura,100871,919
India,Unknown,0,0
India,Uttar Pradesh,2070486,23492
India,Uttarakhand,437112,7691
India,West Bengal,2017035,21197
Indonesia,,5986830,154343
Iran,,7145877,139865
Iraq,,2317128,25138
Ireland,,1413798,6693
Israel,,3818058,10455
Italy,Abruzzo,299785,3058
Italy,Basilicata,100280,816
Italy,Calabria,277105,2257
Italy,Campania,1343732,9967
Italy,Emilia-Romagna,1253009,16195
Italy,Friuli Venezia Giulia,327205,4893
Italy,Lazio,1228224,10701
Italy,Liguria,375153,5184
Italy,Lombardia,2479419,39141
Italy,Marche,374972,3677
Italy,Molise,46388,586
Italy,P.A. Bolzano,201922,1439
Italy,P.A. Trento,146687,1538
Italy,Piemonte,1030956,13172
Italy,Puglia,867522,7896
Italy,Sardegna,216911,2182
Italy,Sicilia,933284,9936
Italy,Toscana,951080,9405
Italy,Umbria,222707,1782
Italy,Valle d'Aosta,32195,524
Italy,Veneto,1444562,14087
Jamaica,,128607,2874
Japan,Aichi,397117,1932
Japan,Akita,14494,45
Japan,Aomori,32866,82
Japan,Chiba,339260,1622
Japan,Ehime,23040,126
Japan,Fukui,20064,41
Japan,Fukuoka,287355,1109
Japan,Fukushima,32956,193
Japan,Gifu,64416,308
Japan,Gunma,65891,277
Japan,Hiroshima,90752,445
Japan,Hokkaido,211032,1911
Japan,Hyogo,321247,2066
Japan,Ibaraki,105114,367
Japan,Ishikawa,32679,183
Japan,Iwate,16658,76
Japan,Kagawa,27513,105
Japan,Kagoshima,39841,165
Japan,Kanagawa,574721,1975
Japan,Kochi,16087,97
Japan,Kumamoto,61612,267
Japan,Kyoto,149045,624
Japan,Mie,52148,262
Japan,Miyagi,54276,170
Japan,Miyazaki,23679,117
Japan,Nagano,40591,160
Japan,Nagasaki,32746,116
Japan,Nara,70641,336
Japan,Niigata,38835,87
Japan,Oita,30013,134
Japan,Okayama,59825,221
Japan,Okinawa,116301,438
Japan,Osaka,770175,4553
Japan,Port Quarantine,4463,4
Japan,Saga,29940,78
Japan,Saitama,401991,1328
Japan,Shiga,65478,188
Japan,Shimane,8575,9
Japan,Shizuoka,115413,373
Japan,Tochigi,58387,235
Japan,Tokushima,15426,78
Japan,Tokyo,1198176,4103
Japan,Tottori,8806,11
Japan,Toyama,26262,72
Japan,Unknown,8,0
Japan,Wakayama,27136,108
Japan,Yamagata,16245,78
Japan,Yamaguchi,27487,162
Japan,Yamanashi,21744,62
Jordan,,1689314,14003
Kazakhstan,,1393546,19006
Kenya,,323333,5647
Kiribati,,3061,13
"Korea, South",,11162232,14294
Kosovo,,227265,3130
Kuwait,,628130,2553
Kyrgyzstan,,200847,2982
Laos,,161866,652
Latvia,,784155,5559
Lebanon,,1089830,10267
Lesotho,,32880,697
Liberia,,7397,294
Libya,,501379,6392
Liechtenstein,,15761,83
Lithuania,,1006330,8788
Luxembourg,,206044,1023
MS Zaandam,,9,2
Madagascar,,63928,1380
Malawi,,85586,2626
Malaysia,Johor,366405,4383
Malaysia,Kedah,286685,2522
Malaysia,Kelantan,242730,1400
Malaysia,Melaka,113616,1076
Malaysia,Negeri Sembilan,183330,1432
Malaysia,Pahang,162239,928
Malaysia,Perak,183517,1778
Malaysia,Perlis,16341,173
Malaysia,Pulau Pinang,261519,1922
Malaysia,Sabah,365551,3102
Malaysia,Sarawak,292859,1670
Malaysia,Selangor,1130236,10477
Malaysia,Terengganu,118711,836
Malaysia,Unknown,0,0
Malaysia,W.P. Kuala Lumpur,317516,2779
Malaysia,W.P. Labuan,20478,154
Malaysia,W.P. Putrajaya,17509,32
Maldives,,174658,297
Mali,,30466,727
Malta,,75892,626
Marshall Islands,,7,0
Mauritania,,58665,981
Mauritius,,204200,968
Mexico,Aguascalientes,63453,3483
Mexico,Baja California,131642,12189
Mexico,Baja California Sur,102375,2639
Mexico,Campeche,33816,2234
Mexico,Chiapas,36454,2400
Mexico,Chihuahua,129773,9909
Mexico,Ciudad de Mexico,1381445,42560
Mexico,Coahuila,144167,8765
Mexico,Colima,54429,2184
Mexico,Durango,67887,3580
Mexico,Guanajuato,280417,14840
Mexico,Guerrero,98181,6699
Mexico,Hidalgo,91542,8364
Mexico,Jalisco,238663,19352
Mexico,Mexico,536754,47021
Mexico,Michoacan,93678,8785
Mexico,Morelos,68574,5207
Mexico,Nayarit,57909,3166
Mexico,Nuevo Leon,312076,14921
Mexico,Oaxaca,119206,6132
Mexico,Puebla,168413,16384
Mexico,Queretaro,140804,6175
Mexico,Quintana Roo,91271,4376
Mexico,San Luis Potosi,183724,7448
Mexico,Sinaloa,121155,9627
Mexico,Sonora,163974,10060
Mexico,Tabasco,189613,6029
Mexico,Tamaulipas,142428,7956
Mexico,Tlaxcala,43547,3064
Mexico,Unknown,0,0
Mexico,Veracruz,176828,16194
Mexico,Yucatan,108730,6690
Mexico,Zacatecas,67377,3844
Micronesia,,1,0
Moldova,,511662,11408
Monaco,,10431,54
Mongolia,,917579,2177
Montenegro,,232561,2698
Morocco,,1162764,16056
Mozambique,,225223,2200
Namibia,,157566,4017
Nepal,,978297,11951
Netherlands,Aruba,33843,212
Netherlands,"Bonaire, Sint Eustatius and Saba",8039,31
Netherlands,Curacao,39853,265
Netherlands,Drenthe,188251,442
Netherlands,Flevoland,174069,326
Netherlands,Friesland,263517,611
Netherlands,Gelderland,930026,2731
Netherlands,Groningen,231845,344
Netherlands,Limburg,510028,2128
Netherlands,Noord-Brabant,1192248,3644
Netherlands,Noord-Holland,1253700,3299
Netherlands,Overijssel,533023,1390
Netherlands,Sint Maarten,9677,86
Netherlands,Unknown,84139,21
Netherlands,Utrecht,627717,1515
Netherlands,Zeeland,158854,379
Netherlands,Zuid-Holland,1602429,5042
New Zealand,Cook Islands,1060,0
New Zealand,,573244,201
Nicaragua,,18365,228
Niger,,8799,308
Nigeria,,255244,3142
North Macedonia,,304326,9191
Norway,,1393061,2339
Oman,,387922,4250
Pakistan,Azad Jammu and Kashmir,43238,792
Pakistan,Balochistan,35467,378
Pakistan,Gilgit-Baltistan,11688,191
Pakistan,Islamabad,135006,1022
Pakistan,Khyber Pakhtunkhwa,218838,6309
Pakistan,Punjab,504697,13551
Pakistan,Sindh,574467,8093
Palau,,3976,6
Panama,,762735,8160
Papua New Guinea,,41533,639
Paraguay,,647672,18608
Peru,Amazonas,43918,1333
Peru,Ancash,125591,7089
Peru,Apurimac,38814,1620
Peru,Arequipa,212325,10240
Peru,Ayacucho,48023,2317
Peru,Cajamarca,95613,4438
Peru,Callao,146291,10467
Peru,Cusco,116556,5135
Peru,Huancavelica,25657,1261
Peru,Huanuco,51952,2875
Peru,Ica,103402,8909
Peru,Junin,125608,7427
Peru,La Libertad,146263,10895
Peru,Lambayeque,105370,9217
Peru,Lima,1603068,92794
Peru,Loreto,57821,4374
Peru,Madre de Dios,17754,844
Peru,Moquegua,48285,1611
Peru,Pasco,23878,1088
Peru,Piura,157643,13042
Peru,Puno,65433,4716
Peru,San Martin,61791,3143
Peru,Tacna,53677,2122
Peru,Tumbes,27285,1687
Peru,Ucayali,39379,3221
Peru,Unknown,2393,157
Philippines,,3675821,58771
Poland,,5924876,114626
Portugal,,3458727,21408
Qatar,,360497,677
Romania,,2832024,64826
Russia,Adygea Republic,47859,963
Russia,Altai Krai,259132,8387
Russia,Altai Republic,33566,594
Russia,Amur Oblast,102844,745
Russia,Arkhangelsk Oblast,223840,1606
Russia,Astrakhan Oblast,114063,2936
Russia,Bashkortostan Republic,272215,5495
Russia,Belgorod Oblast,125230,2126
Russia,Bryansk Oblast,156052,3716
Russia,Buryatia Republic,133538,2953
Russia,Chechen Republic,42812,1076
Russia,Chelyabinsk Oblast,312910,7352
Russia,Chukotka Autonomous Okrug,5459,41
Russia,Chuvashia Republic,76342,4533
Russia,Dagestan Republic,91770,3576
Russia,Ingushetia Republic,40087,548
Russia,Irkutsk Oblast,281229,8175
Russia,Ivanovo Oblast,106366,2994
Russia,Jewish Autonomous Okrug,17398,508
Russia,Kabardino-Balkarian Republic,60491,1827
Russia,Kaliningrad Oblast,162385,1758
Russia,Kalmykia Republic,49649,827
Russia,Kaluga Oblast,100323,1399
Russia,Kamchatka Krai,38889,609
Russia,Karachay-Cherkess Republic,45094,979
Russia,Karelia Republic,130547,1447
Russia,Kemerovo Oblast,155555,2231
Russia,Khabarovsk Krai,194657,1499
Russia,Khakassia Republic,86347,2337
Russia,Khanty-Mansi Autonomous Okrug,205546,2501
Russia,Kirov Oblast,148344,945
Russia,Komi Republic,167324,3042
Russia,Kostroma Oblast,85736,1295
Russia,Krasnodar Krai,247423,10628
Russia,Krasnoyarsk Krai,357797,10474
Russia,Kurgan Oblast,99636,1334
Russia,Kursk Oblast,112266,2359
Russia,Leningrad Oblast,180140,3425
Russia,Lipetsk Oblast,141479,3482
Russia,Magadan Oblast,19490,386
Russia,Mari El Republic,44174,1080
Russia,Mordovia Republic,64584,1332
Russia,Moscow,2733212,42540
Russia,Moscow Oblast,956919,14694
Russia,Murmansk Oblast,133096,3227
Russia,Nenets Autonomous Okrug,7148,99
Russia,Nizhny Novgorod Oblast,402036,11319
Russia,North Ossetia - Alania Republic,40153,1238
Russia,Novgorod Oblast,96439,984
Russia,Novosibirsk Oblast,249290,5297
Russia,Omsk Oblast,201608,4106
Russia,Orel Oblast,107125,1814
Russia,Orenburg Oblast,208577,3852
Russia,Penza Oblast,177031,5530
Russia,Perm Krai,356050,8618
Russia,Primorsky Krai,168455,1881
Russia,Pskov Oblast,106125,1703
Russia,Rostov Oblast,357349,10683
Russia,Ryazan Oblast,113813,3254
Russia,Saint Petersburg,1492804,32917
Russia,Sakha (Yakutiya) Republic,170832,2092
Russia,Sakhalin Oblast,63713,812
Russia,Samara Oblast,371845,7484
Russia,Saratov Oblast,237287,5811
Russia,Smolensk Oblast,126587,2908
Russia,Stavropol Krai,191529,6952
Russia,Sverdlovsk Oblast,418333,10517
Russia,Tambov Oblast,109772,2324
Russia,Tatarstan Republic,135300,1833
Russia,Tomsk Oblast,123710,784
Russia,Tula Oblast,148346,5031
Russia,Tver Oblast,155771,2691
Russia,Tyumen Oblast,183762,4180
Russia,Tyva Republic,44343,345
Russia,Udmurt Republic,161790,3762
Russia,Ulyanovsk Oblast,192559,4533
Russia,Vladimir Oblast,146299,3328
Russia,Volgograd Oblast,206951,6688
Russia,Vologda Oblast,182654,3597
Russia,Voronezh Oblast,363259,8016
Russia,Yamalo-Nenets Autonomous Okrug,134775,1029
Russia,Yaroslavl Oblast,152314,2651
Russia,Zabaykalsky Krai,163844,2275
Rwanda,,129705,1459
Saint Kitts and Nevis,,5548,42
Saint Lucia,,22907,365
Saint Vincent and the Grenadines,,8330,106
Samoa,,796,0
San Marino,,15125,112
Sao Tome and Principe,,5943,73
Saudi Arabia,,750080,9034
Senegal,,85842,1964
Serbia,,1964129,15727
Seychelles,,40009,163
Sierra Leone,,7674,125
Singapore,,1053139,1226
Slovakia,,2390390,19209
Slovenia,,949640,6461
Solomon Islands,,10426,129
Somalia,,26410,1361
South Africa,,3709209,99932
South Sudan,,17184,138
Spain,Andalusia,1381702,13091
Spain,Aragon,405528,4983
Spain,Asturias,201625,2578
Spain,Baleares,263208,1236
Spain,C. Valenciana,1328036,9114
Spain,Canarias,321395,1623
Spain,Cantabria,128912,784
Spain,Castilla - La Mancha,483243,7123
Spain,Castilla y Leon,671928,8357
Spain,Catalonia,2340115,18708
Spain,Ceuta,19373,146
Spain,Extremadura,248458,2267
Spain,Galicia,565481,3166
Spain,La Rioja,91927,909
Spain,Madrid,1625772,17803
Spain,Melilla,20502,154
Spain,Murcia,386990,2193
Spain,Navarra,228522,1511
Spain,Pais Vasco,666067,6307
Spain,Unknown,0,0
Sri Lanka,,660399,16450
Sudan,,61862,4900
Summer Olympics 2020,,865,0
Suriname,,79112,1324
Sweden,Blekinge,29410,159
Sweden,Dalarna,68698,446
Sweden,Gavleborg,73239,668
Sweden,Gotland,11331,61
Sweden,Halland,103821,422
Sweden,Jamtland Harjedalen,32492,168
Sweden,Jonkoping,85724,656
Sweden,Kalmar,59596,333
Sweden,Kronoberg,48970,378
Sweden,Norrbotten,48221,376
Sweden,Orebro,91444,439
Sweden,Ostergotland,94106,792
Sweden,Skane,336063,2293
Sweden,Sormland,62838,563
Sweden,Stockholm,567646,5163
Sweden,Uppsala,88472,651
Sweden,Varmland,64323,313
Sweden,Vasterbotten,55883,294
Sweden,Vasternorrland,52786,568
Sweden,Vastmanland,75076,467
Sweden,Vastra Gotaland,431597,2979
Switzerland,,3402297,13498
Syria,,55623,3130
Taiwan*,,22327,853
Tajikistan,,17786,125
Tanzania,,33797,800
Thailand,,3450980,24579
Timor-Leste,,22813,130
Togo,,36907,272
Tonga,,4537,2
Trinidad and Tobago,,136220,3727
Tunisia,,1033731,28165
Turkey,,14760331,97598
US,Alabama,15607,209
US,Alabama,55365,673
US,Alabama,5478,97
US,Alabama,6415,101
US,Alabama,14894,230
US,Alabama,2283,52
US,Alabama,5048,127
US,Alabama,32343,612
US,Alabama,8464,160
US,Alabama,5109,85
US,Alabama,10991,199
US,Alabama,2044,36
US,Alabama,7086,98
US,Alabama,4083,81
US,Alabama,3556,69
US,Alabama,13343,230
US,Alabama,16269,254
US,Alabama,2852,71
US,Alabama,2950,58
US,Alabama,9276,225
US,Alabama,3786,97
US,Alabama,24493,364
US,Alabama,12503,227
US,Alabama,8378,241
US,Alabama,18734,323
US,Alabama,22963,340
US,Alabama,9983,167
US,Alabama,28768,637
US,Alabama,4972,94
US,Alabama,9851,137
US,Alabama,6285,163
US,Alabama,1865,48
US,Alabama,4697,104
US,Alabama,4452,73
US,Alabama,25009,495
US,Alabama,15013,234
US,Alabama,184298,2317
US,Alabama,3711,63
US,Alabama,24050,386
US,Alabama,7635,154
US,Alabama,37609,330
US,Alabama,24836,286
US,Alabama,2609,75
US,Alabama,3857,82
US,Alabama,88955,939
US,Alabama,5168,106
US,Alabama,8070,151
US,Alabama,27323,388
US,Alabama,113042,1614
US,Alabama,5265,80
US,Alabama,54651,923
US,Alabama,35960,505
US,Alabama,0,0
US,Alabama,2091,44
US,Alabama,5243,101
US,Alabama,7426,133
US,Alabama,5078,74
US,Alabama,10026,86
US,Alabama,60400,439
US,Alabama,25218,411
US,Alabama,2570,49
US,Alabama,22270,371
US,Alabama,11369,232
US,Alabama,55709,758
US,Alabama,0,0
US,Alabama,18533,433
US,Alabama,3724,59
US,Alabama,2872,45
US,Alabama,7568,128
US,Alaska,1051,3
US,Alaska,1683,2
US,Alaska,102070,516
US,Alaska,9909,41
US,Alaska,0,0
US,Alaska,826,1
US,Alaska,1946,9
US,Alaska,956,9
US,Alaska,406,1
US,Alaska,1676,11
US,Alaska,27351,135
US,Alaska,611,1
US,Alaska,8165,21
US,Alaska,17536,105
US,Alaska,3914,21
US,Alaska,4926,12
US,Alaska,3996,12
US,Alaska,34248,238
US,Alaska,5837,5
US,Alaska,4352,11
US,Alaska,4447,14
US,Alaska,703,4
US,Alaska,1430,8
US,Alaska,2320,6
US,Alaska,151,0
US,Alaska,2008,19
US,Alaska,898,1
US,Alaska,0,0
US,Alaska,474,1
US,Alaska,536,5
US,Alaska,1406,10
US,American Samoa,1993,0
US,Arizona,22162,597
US,Arizona,31254,557
US,Arizona,43311,463
US,Arizona,16983,369
US,Arizona,11933,173
US,Arizona,2213,32
US,Arizona,5163,138
US,Arizona,1260012,16393
US,Arizona,57246,1407
US,Arizona,38018,867
US,Arizona,0,0
US,Arizona,252256,3751
US,Arizona,129693,1582
US,Arizona,16597,227
US,Arizona,0,0
US,Arizona,47679,1172
US,Arizona,62517,1155
US,Arkansas,5674,78
US,Arkansas,5110,65
US,Arkansas,8741,246
US,Arkansas,66518,832
US,Arkansas,9421,178
US,Arkansas,2984,49
US,Arkansas,960,10
US,Arkansas,6092,99
US,Arkansas,2771,60
US,Arkansas,5300,78
US,Arkansas,4099,90
US,Arkansas,6425,126
US,Arkansas,2254,35
US,Arkansas,5406,91
US,Arkansas,5452,62
US,Arkansas,37519,325
US,Arkansas,15807,246
US,Arkansas,14202,226
US,Arkansas,4823,81
US,Arkansas,1737,31
US,Arkansas,3022,41
US,Arkansas,4677,69
US,Arkansas,34995,312
US,Arkansas,3804,72
US,Arkansas,2685,88
US,Arkansas,23237,502
US,Arkansas,4452,60
US,Arkansas,15861,170
US,Arkansas,4551,59
US,Arkansas,11146,129
US,Arkansas,3759,50
US,Arkansas,10583,204
US,Arkansas,3885,67
US,Arkansas,6066,60
US,Arkansas,18570,272
US,Arkansas,6793,81
US,Arkansas,1295,31
US,Arkansas,5279,75
US,Arkansas,2905,59
US,Arkansas,4911,66
US,Arkansas,3262,93
US,Arkansas,5104,77
US,Arkansas,19838,242
US,Arkansas,3950,60
US,Arkansas,3379,87
US,Arkansas,9537,165
US,Arkansas,13516,207
US,Arkansas,1924,33
US,Arkansas,1515,57
US,Arkansas,2182,45
US,Arkansas,1716,47
US,Arkansas,5454,102
US,Arkansas,2508,37
US,Arkansas,4785,96
US,Arkansas,2614,42
US,Arkansas,8002,126
US,Arkansas,4144,148
US,Arkansas,18372,204
US,Arkansas,1957,41
US,Arkansas,102781,1166
US,Arkansas,5163,83
US,Arkansas,30776,327
US,Arkansas,2287,41
US,Arkansas,2102,47
US,Arkansas,32650,517
US,Arkansas,5922,72
US,Arkansas,4626,104
US,Arkansas,7130,94
